TEST_TYPE_CODE,VALUE,KEY_RES,,,,
FAQTNCVR,Improper collection technique,50074,,,,
FAQTNCVR,Improper scale position/plane,50075,,,,
FAQTNCVR,Insufficient detail,50076,,,,
FAQTNCVR,Lack of impression clarity,50077,,,,
FAQTNCVR,Lack of pattern details,50078,,,,
FAQTNCVR,Lack of scale,50079,,,,
FAQTNCVR,Lighting/exposure issues,50080,,,,
FAQTNCVR,Other (describe),50081,,,,
FAQTNCVR,Photography angle/technique distortion,50082,,,,
FAQTNCVR,Poor image resolution,50083,,,,
FAQTNCVR,Significant background/substrate interference,50084,,,,
FAQTITO, Dry origin (2D) – dust/residue ,50085,,,,
FAQTITO,Dry origin (3D) – dirt/sand ,50086,,,,
FAQTITO,Dry origin – other (describe) ,50087,,,,
FAQTITO,Undetermined (describe) ,50088,,,,
FAQTITO, Wet origin – blood/biohazard ,50089,,,,
FAQTITO, Wet origin – oil/grease ,50090,,,,
FAQTITO,Wet origin – other (describe) ,50091,,,,
FAQTITO, Wet origin – paint/ink ,50092,,,,
FAQTITO,Wet origin (2D) – water/wet residue,50093,,,,
FAQTITO,Wet origin (3D) – mud/soil ,50094,,,,
FAQTITO,Wet origin (3D) – snow,50095,,,,
FAQTOD,Background/substrate interference ,50096,,,,
FAQTOD,Broken/torn material,50097,,,,
FAQTOD,Migration (wet residues) ,50098,,,,
FAQTOD,Not applicable,50099,,,,
FAQTOD,Other (describe),50100,,,,
FAQTOD,Overlapped impressions/objects,50101,,,,
FAQTOD,Skidding,50102,,,,
FAQTOD,Twisting/pivoting,50103,,,,
FAQTOD,Unknown textures,50104,,,,
FAQTTPS,All-season ,50105,,,,
FAQTTPS,Asymmetrical,50106,,,,
FAQTTPS,Directional,50107,,,,
FAQTTPS,Off-road/aggressive,50108,,,,
FAQTTPS,Other (describe),50109,,,,
FAQTTPS,Specialty,50110,,,,
FAQTTPS,Symmetrical,50111,,,,
FAQTRM,Not measured,50112,,,,
FAQTRM,Tire Track width (widest):,50113,,,,
FAQTRM,Wear Indicator spacing:,50114,,,,
FAQTRM,Tire band/rib width (A):,50115,,,,
FAQTRM,Tire band/rib width (B):,50116,,,,
FAQTRM,Tire band/rib width (C):,50117,,,,
FAQTRM,Tire band/rib width (D):,50118,,,,
FAQTRM,Tire band/rib width (E):,50119,,,,
FAQTRM,Tire band/rib width (F):,50120,,,,
FAQTRM,Tire band/rib width (G):,50121,,,,
FAQTRM,Tire band/rib width (H):,50122,,,,
FAQTRM,Tire groove width (1):,50123,,,,
FAQTRM,Tire groove width (2):,50124,,,,
FAQTRM,Tire groove width (3):,50125,,,,
FAQTRM,Tire groove width (4):,50126,,,,
FAQTRM,Tire groove width (5):,50127,,,,
FAQTRM,Tire groove width (6):,50128,,,,
FAQTRM,Tire groove width (7):,50129,,,,
FAQTRM,Tire groove width (8):,50130,,,,
FAQTRM,Other feature measurement (specify):,50131,,,,
FAQTRM,Other feature measurement (specify):,50132,,,,
FAQTRM,Other feature measurement (specify):,50133,,,,
